Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,totalSeasons
Florence Foster Jenkins,2016,PG-13,12 Aug 2016,111 min,"Biography, Comedy, Drama",Stephen Frears,"Nicholas Martin, Julia Kogan","Meryl Streep, Hugh Grant, Simon Helberg","Florence Foster Jenkins, an heiress from NYC, always wanted to be a concert pianist and play Carnegie Hall. An injury in her youth deterred that dream, so she sets out to sing her way to Carnegie Hall, knowing the only way to get there would be, ""Practice, practice, practice"". Her husband supports her venture, and Florence Foster Jenkins' performance at Carnegie Hall becomes a truly historic event.","English, German, Italian, Russian","United Kingdom, France",Nominated for 2 Oscars. 10 wins & 48 nominations total,https://m.media-amazon.com/images/M/MV5BMjA0Mzc4MjMxMl5BMl5BanBnXkFtZTgwODIwNTQxODE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '88%'}, {'Source': 'Metacritic', 'Value': '71/100'}]",71,6.8,"59,416",tt4136084,movie,30 Nov 2016,"$27,383,770",N/A,N/A,True,
"Food, Inc.",2008,PG,31 Jul 2009,94 min,"Documentary, News",Robert Kenner,"Robert Kenner, Elise Pearlstein, Kim Roberts","Michael Pollan, Eric Schlosser, Richard Lobb","The current method of raw food production is largely a response to the growth of the fast food industry since the 1950s. The production of food overall has more drastically changed since that time than the several thousand years prior. Controlled primarily by a handful of multinational corporations, the global food production business - with an emphasis on the business - has as its unwritten goals production of large quantities of food at low direct inputs (most often subsidized) resulting in enormous profits, which in turn results in greater control of the global supply of food sources within these few companies. Health and safety (of the food itself, of the animals produced themselves, of the workers on the assembly lines, and of the consumers actually eating the food) are often overlooked by the companies, and are often overlooked by government in an effort to provide cheap food regardless of these negative consequences. Many of the changes are based on advancements in science and technology, but often have negative side effects.The products made have been shown in several studies to enlarge male sexual organs and increase male breast size. The answer that the companies have come up with is to throw more science at the problems to bandage the issues but not the root causes. The global food supply may be in crisis with lack of biodiversity, but can be changed on the demand side of the equation.",English,United States,Nominated for 1 Oscar. 7 wins & 20 nominations total,https://m.media-amazon.com/images/M/MV5BZGNhYTA1ODMtY2M5Yy00MTYwLWFlZmEtNDM4M2I4ZTI2ZmVmXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '95%'}, {'Source': 'Metacritic', 'Value': '80/100'}]",80,7.8,"52,095",tt1286537,movie,26 Apr 2016,"$4,417,674",N/A,N/A,True,
Footnote,2011,PG,25 May 2011,107 min,"Comedy, Drama",Joseph Cedar,Joseph Cedar,"Shlomo Bar-Aba, Lior Ashkenazi, Aliza Rosen","The story of a great rivalry between a father and son, both eccentric professors in the Talmud department of Hebrew University in Jerusalem. The son has an addictive dependency on the embrace and accolades that the establishment provides, while his father is a stubborn purist with a fear and profound revulsion for what the establishment stands for, yet beneath his contempt lies a desperate thirst for some kind of recognition. The Israel Prize, Israel's most prestigious national award, is the jewel that brings these two to a final, bitter confrontation.",Hebrew,Israel,Nominated for 1 Oscar. 14 wins & 9 nominations total,https://m.media-amazon.com/images/M/MV5BMTYxMTUxNjI2N15BMl5BanBnXkFtZTcwMjM5MjA5Ng@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '88%'}, {'Source': 'Metacritic', 'Value': '83/100'}]",83,7.1,"6,274",tt1445520,movie,25 Feb 2014,"$2,007,758",N/A,N/A,True,
For Sama,2019,TV-PG,26 Jul 2019,100 min,"Documentary, Biography, War","Waad Al-Kateab, Edward Watts",N/A,"Waad Al-Kateab, Sama Al-Khateab, Hamza Al-Khateab","FOR SAMA is both an intimate and epic journey into the female experience of war. A love letter from a young mother to her daughter, the film tells the story of Waad al-Kateab's life through five years of the uprising in Aleppo, Syria as she falls in love, gets married and gives birth to Sama, all while cataclysmic conflict rises around her. Her camera captures incredible stories of loss, laughter and survival as Waad wrestles with an impossible choice - whether or not to flee the city to protect her daughter's life, when leaving means abandoning the struggle for freedom for which she has already sacrificed so much. The film is the first feature documentary by Emmy award-winning filmmakers Waad al-Kateab and Edward Watts.","Arabic, English","United Kingdom, Syria, United States",Nominated for 1 Oscar. 71 wins & 52 nominations total,https://m.media-amazon.com/images/M/MV5BYzE2NWE0OWEtMjk5NS00OWYwLWEwNzQtMGFhZTIzYTgxZjI0XkEyXkFqcGdeQXVyNDY2NDMxNDY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '98%'}, {'Source': 'Metacritic', 'Value': '89/100'}]",89,8.5,"12,738",tt9617456,movie,16 Jan 2020,"$43,796",N/A,N/A,True,
Ford v Ferrari,2019,PG-13,15 Nov 2019,152 min,"Action, Biography, Drama",James Mangold,"Jez Butterworth, John-Henry Butterworth, Jason Keller","Matt Damon, Christian Bale, Jon Bernthal","As Enzo Ferrari's fast Rosso-Corsa racing cars dominate the mid-1960s motorsport world, the American car designer, Carroll Shelby, is forced to retire after winning the demanding 1959 '24 Hours of Le Mans' endurance race. But, before long, an unexpected proposition by the Vice President of Henry Ford's motor company, Lee Iacocca, will offer an opportunity to beat the Italians at their own game. Now, under those pressing circumstances, the British sports car driver and racing engineer, Ken Miles, reluctantly agrees to lend a hand and improve the firm's image, as Ford's race team has less than ninety days to rewrite history. As a result, the non-conformist duo comes up with the mighty Ford GT40 Mk I high-performance racing car. Can Shelby and Miles break Ferrari's streak?","English, Italian, French, Japanese",United States,Won 2 Oscars. 26 wins & 88 nominations total,https://m.media-amazon.com/images/M/MV5BM2UwMDVmMDItM2I2Yi00NGZmLTk4ZTUtY2JjNTQ3OGQ5ZjM2XkEyXkFqcGdeQXVyMTA1OTYzOTUx._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}, {'Source': 'Metacritic', 'Value': '81/100'}]",81,8.1,"465,051",tt1950186,movie,15 Nov 2019,"$117,624,357",N/A,N/A,True,
Four Daughters,2023,Not Rated,05 Jul 2023,107 min,Documentary,Kaouther Ben Hania,Kaouther Ben Hania,"Olfa Hamrouni, Eya Chikhaoui, Tayssir Chikhaoui","Between light and darkness stands Olfa, a Tunisian woman and the mother of four daughters. One day, her two older daughters disappear. Filmmaker Kaouther Ben Hania invites professional actresses to fill in their absence.","Arabic, French, English","France, Tunisia, Germany, Saudi Arabia, Cyprus",Nominated for 1 Oscar. 14 wins & 25 nominations total,https://m.media-amazon.com/images/M/MV5BNGY1YTUxZGItOTYxNC00ZjZjLWIzMTAtYmM2NzMzZTI4ZjE3XkEyXkFqcGdeQXVyMTUyNTEwNDMy._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Metacritic', 'Value': '78/100'}]",78,7.5,"1,042",tt27502426,movie,N/A,"$74,315",N/A,N/A,True,
Foxcatcher,2014,R,16 Jan 2015,134 min,"Biography, Drama, History",Bennett Miller,"E. Max Frye, Dan Futterman","Steve Carell, Channing Tatum, Mark Ruffalo","Based on true events, Foxcatcher tells the dark and fascinating story of the unlikely and ultimately tragic relationship between an eccentric multi-millionaire and two champion wrestlers. When Olympic Gold Medal winning wrestler Mark Schultz (Channing Tatum) is invited by wealthy heir John Du Pont (Steve Carell) to move on to the Du Pont estate and help form a team to train for the 1988 Seoul Olympics at his new state-of-the-art training facility, Schultz jumps at the opportunity, hoping to focus on his training and finally step out of the poverty stricken situation Olympic caliber athletes like he and his revered brother, Dave (Mark Ruffalo). Driven by hidden needs, Du Pont sees backing Schultz's bid for Gold and the chance to ""coach"" a world-class wrestling team as an opportunity to gain the elusive respect of his peers and, more importantly, his disapproving mother (Vanessa Redgrave). Trapped in Du Pont's majestic but suffocating world, Mark comes to see his benefactor as an egotistical, arrogant, and selfish megalomaniac and grows increasingly contemptuous. Though initially supportive, Du Pont's mercurial personality turns and he begins to lure Mark into an unhealthy lifestyle that threatens to undermine his training. Soon Du Pont's erratic behavior and threatening psychological game-play begin to erode the athlete's environment, stability, and motivation. Meanwhile Du Pont becomes fixated on Dave, who exudes the confidence Du Pont lacks. Du Pont eventually realizes he is unable to buy the respect he so desperately desires from the world's greatest wrestlers. Fueled by Du Pont's increasing paranoia and alienation from the brothers, the trio is propelled towards a tragedy no one could have foreseen.","English, French",United States,Nominated for 5 Oscars. 12 wins & 81 nominations total,https://m.media-amazon.com/images/M/MV5BMTQ2MjQxNjYxOV5BMl5BanBnXkFtZTgwMzIwODUxMzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '88%'}, {'Source': 'Metacritic', 'Value': '81/100'}]",81,7.0,"148,815",tt1100089,movie,08 Sep 2016,"$12,096,300",N/A,N/A,True,
Frankenweenie,2012,PG,05 Oct 2012,87 min,"Animation, Comedy, Drama",Tim Burton,"Leonard Ripps, Tim Burton, John August","Winona Ryder, Catherine O'Hara, Martin Short","When young Victor's pet dog Sparky (who stars in Victor's home-made monster movies) is hit by a car, Victor decides to bring him back to life the only way he knows how. But when the bolt-necked ""monster"" wreaks havoc and terror in the hearts of Victor's neighbors, he has to convince them (and his parents) that despite his appearance, Sparky's still the good loyal friend he's always been.",English,"United States, United Kingdom",Nominated for 1 Oscar. 11 wins & 50 nominations total,https://m.media-amazon.com/images/M/MV5BMjIxODY3MjEwNV5BMl5BanBnXkFtZTcwOTMzNjc4Nw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '88%'}, {'Source': 'Metacritic', 'Value': '74/100'}]",74,6.9,"116,711",tt1142977,movie,08 Jan 2014,"$35,291,068",N/A,N/A,True,
Free Guy,2021,PG-13,13 Aug 2021,115 min,"Action, Adventure, Comedy",Shawn Levy,"Matt Lieberman, Zak Penn","Ryan Reynolds, Jodie Comer, Taika Waititi","In the extremely popular video game, Free City, a NPC named Guy learns the true nature of his existence when he meets the girl of his dreams, a human player. This player's interactions with Guy has massive affects on him, the game, and real world as they play it.","English, Japanese, German","United States, Canada",Nominated for 1 Oscar. 5 wins & 29 nominations total,https://m.media-amazon.com/images/M/MV5BOTY2NzFjODctOWUzMC00MGZhLTlhNjMtM2Y2ODBiNGY1ZWRiXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '80%'}, {'Source': 'Metacritic', 'Value': '62/100'}]",62,7.1,"422,935",tt6264654,movie,27 Sep 2021,"$121,626,598",N/A,N/A,True,
Free Solo,2018,PG-13,13 Dec 2018,100 min,"Documentary, Adventure, Sport","Jimmy Chin, Elizabeth Chai Vasarhelyi",N/A,"Alex Honnold, Tommy Caldwell, Jimmy Chin","Alex Honnold faces the biggest challenge of his career, climbing El Capitan in Yosemite National Park. He pursues it Free Solo, which means climbing without a rope and alone.",English,United States,Won 1 Oscar. 31 wins & 54 nominations total,https://m.media-amazon.com/images/M/MV5BMjMwYjcwNWQtNTQ5YS00MzVlLTkxYzMtNDIwZWIxZTE4Zjg2XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '98%'}, {'Source': 'Metacritic', 'Value': '83/100'}]",83,8.1,"76,996",tt7775622,movie,12 Feb 2019,"$17,541,090",N/A,N/A,True,
French Roast,2008,TV-PG,19 Feb 2010,8 min,"Animation, Short, Comedy",Fabrice Joubert,Fabrice Joubert,N/A,"A disheveled man picks up litter on a street using a stick with a nail on its end. In a bar, a cigar-smoking swell reads the financial section of a newspaper. The vagabond enters, the upstanding man ignores a request for alms, the hobo exits. The gent can't find his wallet, so he orders espresso after espresso as he ponders what to do. The vagabond returns, a napping nun at the next table gives him money, and the gent considers pilfering her purse. As the evening drags on, the bill for espresso mounts. A detective tacks up a wanted poster. Among the waiter, detective, nun, vagabond, and gent-in-a-jam, can luck or kindness find their way into the bar?",French,France,Nominated for 1 Oscar. 10 wins & 9 nominations total,https://m.media-amazon.com/images/M/MV5BOTkxMjY1MTExMV5BMl5BanBnXkFtZTcwMjY0MTA4OQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}]",N/A,7.1,"2,958",tt1323520,movie,N/A,N/A,N/A,N/A,True,
Fresh Guacamole,2012,Unrated,02 Mar 2012,2 min,"Animation, Short",PES,PES,N/A,"In the delicate hands of an inspired and picky gourmet chef or a dedicated foodie, a ripe avocado fruit screams ""Guacamole"", Mexico's famous spread. The recipe is quite simple. After halving and dicing the avocado, you chop some coriander, a small onion, and a juicy red tomato. Of course, don't forget the indispensable chilli pepper and a splash of lime. ¡Buen provecho.",English,United States,Nominated for 1 Oscar. 2 nominations total,https://m.media-amazon.com/images/M/MV5BNDk2MDljYzMtNDljNS00N2E3LTgwYWItN2IzNjg1MDg3MzNhXkEyXkFqcGdeQXVyMTU3NDU4MDg2._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}]",N/A,7.4,"4,213",tt2309977,movie,23 Mar 2017,N/A,N/A,N/A,True,
Frost/Nixon,2008,R,23 Jan 2009,122 min,"Biography, Drama, History",Ron Howard,Peter Morgan,"Frank Langella, Michael Sheen, Kevin Bacon","Writer Peter Morgan's legendary battle between Richard Nixon, the disgraced president with a legacy to save, and David Frost, a jet-setting television personality with a name to make, in the story of the historic encounter that changed both their lives. For three years after being forced from office, Nixon remained silent. But in summer 1977, the steely, cunning former commander-in-chief agreed to sit for one all-inclusive interview to confront the questions of his time in office and the Watergate scandal that ended his presidency. Nixon surprised everyone in selecting Frost as his televised confessor, intending to easily outfox the breezy British showman and secure a place in the hearts and minds of Americans (as well as a $600,000 fee). Likewise, Frost's team harbored doubts about their boss' ability to hold his own. But as cameras rolled, a charged battle of wits resulted.",English,"United Kingdom, France, United States",Nominated for 5 Oscars. 23 wins & 81 nominations total,https://m.media-amazon.com/images/M/MV5BYTdmMWVmMmEtZTExOS00YzFhLWI3MGUtZDc5MjBhMjNjOWMzXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}, {'Source': 'Metacritic', 'Value': '80/100'}]",80,7.7,"112,290",tt0870111,movie,12 Feb 2014,"$18,622,031",N/A,N/A,True,
Frozen,2013,PG,27 Nov 2013,102 min,"Animation, Adventure, Comedy","Chris Buck, Jennifer Lee","Jennifer Lee, Hans Christian Andersen, Chris Buck","Kristen Bell, Idina Menzel, Jonathan Groff","Fearless optimist Anna teams up with rugged mountain man Kristoff and his loyal reindeer Sven and sets off on an epic journey to find her sister Elsa, whose icy powers have trapped the kingdom of Arendelle in eternal winter. Encountering Everest-like conditions, mystical trolls and a hilarious snowman named Olaf, Anna and Kristoff battle the elements in a race to save the kingdom. From the outside Elsa looks poised, regal and reserved, but in reality she lives in fear as she wrestles with a mighty secret: she was born with the power to create ice and snow. It's a beautiful ability, but also extremely dangerous. Haunted by the moment her magic nearly killed her younger sister Anna, Elsa has isolated herself, spending every waking minute trying to suppress her growing powers. Her mounting emotions trigger the magic, accidentally setting off an eternal winter that she can't stop. She fears she's becoming a monster and that no one, not even her sister, can help her.","Norwegian, English, Russian",United States,Won 2 Oscars. 83 wins & 60 nominations total,https://m.media-amazon.com/images/M/MV5BMTQ1MjQwMTE5OF5BMl5BanBnXkFtZTgwNjk3MTcyMDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '90%'}, {'Source': 'Metacritic', 'Value': '75/100'}]",75,7.4,"660,476",tt2294629,movie,25 Feb 2014,"$400,953,009",N/A,N/A,True,
Frozen River,2008,R,05 Sep 2008,97 min,"Crime, Drama",Courtney Hunt,Courtney Hunt,"Melissa Leo, Misty Upham, Charlie McDermott","Takes place in the days before Christmas near a little-known border crossing on the Mohawk reservation between New York State and Quebec. Here, the lure of fast money from smuggling presents a daily challenge to single moms who would otherwise be earning minimum wage. Two women - one white, one Mohawk, both single mothers faced with desperate circumstances - are drawn into the world of border smuggling across the frozen water of the St. Lawrence River. Ray and Lila - and a New York State Trooper as opponent in an evolving cat-and-mouse game.","English, French, Chinese, Urdu, Mohawk",United States,Nominated for 2 Oscars. 32 wins & 39 nominations total,https://m.media-amazon.com/images/M/MV5BMTk2NjMwMDgzNF5BMl5BanBnXkFtZTcwMDY0NDY3MQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '88%'}, {'Source': 'Metacritic', 'Value': '82/100'}]",82,7.1,"26,437",tt0978759,movie,07 May 2013,"$2,511,476",N/A,N/A,True,
Garden Party,2017,R,28 Apr 2018,7 min,"Animation, Short, Comedy","Florian Babikian, Vincent Bayoux, Victor Caire",N/A,N/A,"In a deserted rich house, a couple of amphibians explore their surroundings and follow their primal instincts.",French,France,Nominated for 1 Oscar. 10 wins & 8 nominations total,https://m.media-amazon.com/images/M/MV5BNGY4ZGQzNmMtYWJiYy00ZDZiLTk2NTItYzJlYWE4OGY4YmZhXkEyXkFqcGdeQXVyNzcwNDQ5NzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",N/A,7.3,"1,987",tt6426140,movie,29 May 2018,N/A,N/A,N/A,True,
GasLand,2010,Not Rated,17 Jan 2011,107 min,Documentary,Josh Fox,Josh Fox,"Josh Fox, Dick Cheney, Pete Seeger","It is happening all across America-rural landowners wake up one day to find a lucrative offer from an energy company wanting to lease their property. Reason? The company hopes to tap into a reservoir dubbed the ""Saudi Arabia of natural gas."" Halliburton developed a way to get the gas out of the ground-a hydraulic drilling process called ""fracking""-and suddenly America finds itself on the precipice of becoming an energy superpower.",English,United States,Nominated for 1 Oscar. 9 wins & 8 nominations total,https://m.media-amazon.com/images/M/MV5BNDA5NDc4NTUzMl5BMl5BanBnXkFtZTcwMjcxNDg1Mw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '98%'}]",N/A,7.6,"11,100",tt1558250,movie,05 Dec 2016,"$30,846",N/A,N/A,True,
Genius Loci,2020,N/A,19 Jan 2020,16 min,"Animation, Short, Fantasy",Adrien Merigeau,"Adrien Merigeau, Nicolas Pleskof","Nadia Moussa, Georgia Cusack, Jina Djemba","Going through a bad patch in her already complicated life, lonely Reine struggles to get a solid grasp of the impenetrable chaos that surrounds her. Trapped in a dizzying kaleidoscope of vivid urban hallucinations, young Reine embarks on an emotional journey through the night, against the backdrop of total abandon, mystical transition, and existential change. Now, the faceless city's artificial lights are calling her home. But are there easy answers to the unending conundrum of self-discovery?",French,France,Nominated for 1 Oscar. 13 wins & 15 nominations total,https://m.media-amazon.com/images/M/MV5BNTEyOGM5ODYtNzU0Yy00MWM3LWI5YmYtYjc0NjUwMTQyYmJmXkEyXkFqcGdeQXVyNjE4OTU2MzY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}]",N/A,6.2,"1,260",tt11884670,movie,N/A,N/A,N/A,N/A,True,
Get a Horse!,2013,G,27 Nov 2013,6 min,"Animation, Short, Comedy",Lauren MacMullan,"Lauren MacMullan, Paul Briggs, Nancy Kruse","Walt Disney, Marcellite Garner, Russi Taylor","Mickey, Minnie, Horace Horsecollar, and Clarabelle Cow go on a musical wagon ride until Peg-Leg Pete tries to run them off the road.",English,United States,Nominated for 1 Oscar. 2 wins & 2 nominations total,https://m.media-amazon.com/images/M/MV5BMTQxNDIzMDI3NF5BMl5BanBnXkFtZTcwODE4OTA3OQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}]",N/A,7.5,"5,578",tt2980764,movie,25 Feb 2014,N/A,N/A,N/A,True,
Get Out,2017,R,24 Feb 2017,104 min,"Horror, Mystery, Thriller",Jordan Peele,Jordan Peele,"Daniel Kaluuya, Allison Williams, Bradley Whitford","Chris and his girlfriend Rose go upstate to visit her parents for the weekend. At first, Chris reads the family's overly accommodating behavior as nervous attempts to deal with their daughter's interracial relationship, but as the weekend progresses, a series of increasingly disturbing discoveries lead him to a truth that he never could have imagined.","English, Swahili","United States, Japan",Won 1 Oscar. 153 wins & 213 nominations total,https://m.media-amazon.com/images/M/MV5BMjUxMDQwNjcyNl5BMl5BanBnXkFtZTgwNzcwMzc0MTI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '98%'}, {'Source': 'Metacritic', 'Value': '85/100'}]",85,7.8,"691,086",tt5052448,movie,09 May 2017,"$176,196,665","Universal Pictures, QC Entertainment, Blumhouse Productions",N/A,True,
Glass Onion: A Knives Out Mystery (2022),2022,N/A,24 Nov 2022,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://m.media-amazon.com/images/M/MV5BZmJlNzYxMmMtMzQ2YS00NTM5LWJjMjYtMzRmY2NhNDZkMjE1XkEyXkFqcGdeQXVyNjc5Mjg4Nzc@._V1_SX300.jpg,[],N/A,N/A,N/A,tt24734444,movie,N/A,N/A,N/A,N/A,True,
God of Love,2010,N/A,12 Jun 2010,18 min,"Short, Comedy, Fantasy",Luke Matheny,Luke Matheny,"Luke Matheny, Marian Brock, Christopher Hirsh","A lovestruck, lounge-singing darts champion finds his prayers answered--literally--when he mysteriously receives a box of love-inducing darts.",N/A,United States,Won 1 Oscar. 6 wins total,https://m.media-amazon.com/images/M/MV5BOTcyODM0MjM0OF5BMl5BanBnXkFtZTcwMzU0MDE0NA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}]",N/A,7.6,"1,904",tt1631323,movie,31 Jan 2018,N/A,N/A,N/A,True,
Godzilla Minus One,2023,PG-13,01 Dec 2023,124 min,"Action, Adventure, Drama",Takashi Yamazaki,"Ishirô Honda, Takeo Murata, Takashi Yamazaki","Sakura Andô, Minami Hamabe, Ryunosuke Kamiki","Post war Japan is at its lowest point when a new crisis emerges in the form of a giant monster, baptized in the horrific power of the atomic bomb.",Japanese,Japan,Nominated for 1 Oscar. 24 wins & 58 nominations total,https://m.media-amazon.com/images/M/MV5BOTI5MjNjMTMtN2NiNC00YjBlLTgzMWQtMGRhZDZkYmY1NGU2XkEyXkFqcGdeQXVyNTgyNTA4MjM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '98%'}]",N/A,8.3,"45,095",tt23289160,movie,N/A,"$56,418,793",N/A,N/A,True,
Golda,2023,PG-13,25 Aug 2023,100 min,"Biography, Drama, History",Guy Nattiv,Nicholas Martin,"Helen Mirren, Zed Josef, Henry Goodman","Focuses on the intensely dramatic and high-stakes responsibilities and decisions that Golda Meir, also known as the 'Iron Lady of Israel,' faced during the Yom Kippur War.","English, Hebrew, Arabic","United Kingdom, United States",Nominated for 1 Oscar. 1 win & 10 nominations total,https://m.media-amazon.com/images/M/MV5BODI4NTc5NWItNjA0Yi00MjMyLWEyMGItMTMwYTdhOTNmNjlmXkEyXkFqcGdeQXVyMTA2MDU0NjM5._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '52%'}, {'Source': 'Metacritic', 'Value': '51/100'}]",51,5.9,"11,137",tt14454876,movie,N/A,"$4,801,781",N/A,N/A,True,
Gone Girl,2014,R,03 Oct 2014,149 min,"Drama, Mystery, Thriller",David Fincher,Gillian Flynn,"Ben Affleck, Rosamund Pike, Neil Patrick Harris","On the occasion of his fifth wedding anniversary, Nick Dunne reports that his wife, Amy, has gone missing. Under pressure from the police and a growing media frenzy, Nick's portrait of a blissful union begins to crumble. Soon his lies, deceits and strange behavior have everyone asking the same dark question: Did Nick Dunne kill his wife?",English,United States,Nominated for 1 Oscar. 64 wins & 188 nominations total,https://m.media-amazon.com/images/M/MV5BMTk0MDQ3MzAzOV5BMl5BanBnXkFtZTgwNzU1NzE3MjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '87%'}, {'Source': 'Metacritic', 'Value': '79/100'}]",79,8.1,"1,062,369",tt2267998,movie,01 Jun 2016,"$167,767,189",N/A,N/A,True,
Granny O'Grimm's Sleeping Beauty,2008,Not Rated,25 Dec 2009,6 min,"Animation, Short, Comedy",Nicky Phelan,"Kathleen O'Rourke, John Walsh",Kathleen O'Rourke,"It's night; a wide-eyed fearful child is in bed. When her granny enters the room, the child pretends to be asleep. Granny O'Grimm isn't fooled; she pokes the child with a walker and picks up the book ""Sleeping Beauty."" We see the story as she tells it, images jumping between fairies at a baby's christening and Granny's agitated narrating. The aged fairy, who wasn't invited to the feast, looks just like Granny, but with small wings. As the child's terror deepens, Granny reaches the end of her version of the story. Will the child get any sleep?",English,Ireland,Nominated for 1 Oscar. 1 win & 1 nomination total,https://m.media-amazon.com/images/M/MV5BMzQzNDg2ODQ0M15BMl5BanBnXkFtZTgwNzI4MDY3MDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}]",N/A,6.4,"1,671",tt1382454,movie,N/A,N/A,N/A,N/A,True,
Gravity,2013,PG-13,04 Oct 2013,91 min,"Drama, Sci-Fi, Thriller",Alfonso Cuarón,"Alfonso Cuarón, Jonás Cuarón","Sandra Bullock, George Clooney, Ed Harris","Dr. Ryan Stone (Sandra Bullock) is a brilliant medical engineer on her first shuttle mission, with veteran astronaut Matt Kowalski (George Clooney) in command of his last flight before retiring. But on a seemingly routine spacewalk, disaster strikes. The shuttle is destroyed, leaving Stone and Kowalsky completely alone - tethered to nothing but each other and spiraling out into the blackness.","English, Greenlandic","United Kingdom, United States",Won 7 Oscars. 240 wins & 187 nominations total,https://m.media-amazon.com/images/M/MV5BNjE5MzYwMzYxMF5BMl5BanBnXkFtZTcwOTk4MTk0OQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '96%'}, {'Source': 'Metacritic', 'Value': '96/100'}]",96,7.7,"859,929",tt1454468,movie,26 Aug 2014,"$274,092,705",N/A,N/A,True,
